Name,Age,Mobile_Number,Password,Occupation,Location,Daily_Usage_GB,Daily_Usage_MB,Data_Limit_GB,Device_Type,Monthly_Usage_GB,Network_Package,Package_Cost,Preferred_Network,SIM_Type
Ram,54,6723648664,Ramkk@065,Other Professionals,Nilgiris,1.56,1597.44,2.5,Laptop,46.8,Entertainment+ Data,499,5G,VI
Swathi,68,9520871314,Swath@156,Teacher,Villupuram,4.3,4403.2,2,Television,129,Unlimited+ OTT,399,4G,Jio
Craig,25,8184137219,Craig@243,Other Professionals,Salem,3.68,3768.32,1,Television,110.4,Standard Plan,199,4G,BSNL
Elton,39,7983708261,Elton@506,Unemployed,Kanchipuram,3.85,3942.4,2,Tablet,115.5,Unlimited+ OTT,399,4G,Jio
Harini,50,7182767989,Harin@846,Freelancer,Thanjavur,2.49,2549.76,1.5,Television,74.7,Basic+ Calls,299,4G,Airtel
Charan,69,6656990022,Chara@092,Freelancer,Virudhunagar,0.46,471.04,1,Tablet,13.8,Standard Plan,199,5G,BSNL
Shree,51,9782779039,Shree@640,Freelancer,Tirunelveli,2.05,2099.2,1,Television,61.5,Standard Plan,199,5G,BSNL
Ridhi,24,9661558890,Ridhi@988,Unemployed,Erode,1.12,1146.88,2.5,Tablet,33.6,Entertainment+ Data,499,5G,VI
Keerthi,49,8184698011,Keert@139,Retiree,Thiruvallur,3.47,3553.28,2.5,Smartphone,104.1,Entertainment+ Data,499,4G,VI
Sakshi,49,8684415127,Saksh@298,Freelancer,Vellore,4.57,4679.68,2,Smartphone,137.1,Unlimited+ OTT,399,5G,Jio
Kavya,35,6888474245,Kavya@982,Retiree,Ariyalur,4.15,4249.6,1.5,Laptop,124.5,Basic+ Calls,299,4G,Airtel
Vishal,19,9189780627,Visha@894,Student,Coimbatore,3.95,4044.8,2,Smartphone,118.5,Unlimited+ OTT,399,5G,Jio
Gokul,59,8614018463,Gokul@886,Other Professionals,Salem,2.73,2795.52,2.5,Tablet,81.9,Entertainment+ Data,499,4G,VI
Prasath,59,7146544724,Prasa@901,Doctor,Chennai,4.84,4956.16,2,Laptop,145.2,Unlimited+ OTT,399,4G,Jio
sasikumar,22,9180896044,sasik@391,Student,Ariyalur,2.46,2519.04,1,Laptop,73.8,Standard Plan,199,4G,BSNL
Prathu,44,7738075041,Prath@866,Unemployed,Tiruchirappalli,4.4,4505.6,1.5,Television,132,Basic+ Calls,299,4G,Airtel
Sandhiya,52,7942771150,Sandh@422,IT sector,Coimbatore,4.4,4505.6,2.5,Tablet,132,Entertainment+ Data,499,5G,VI
Sabarish,53,8657854622,Sabar@353,Doctor,Namakkal,1.78,1822.72,2.5,Laptop,53.4,Entertainment+ Data,499,5G,VI
Shreeram,36,7141930804,Shree@061,Freelancer,Vellore,3.73,3819.52,2,Smartphone,111.9,Unlimited+ OTT,399,5G,Jio
Prasana,56,6538691216,Prasa@504,Freelancer,Ramanathapuram,0.31,317.44,1.5,Laptop,9.3,Basic+ Calls,299,4G,Airtel
Dhanvanth,46,9884214541,Dhanv@013,Student,Salem,1.14,1167.36,1.5,Tablet,34.2,Basic+ Calls,299,4G,Airtel
Sweety,59,7537926292,Sweet@788,Teacher,Ariyalur,1.3,1331.2,2,Laptop,39,Unlimited+ OTT,399,5G,Jio
Jeevika,48,9501920159,Jeevi@778,Student,Dindigul,0.97,993.28,1.5,Smartphone,29.1,Basic+ Calls,299,5G,Airtel
Subha,23,9897376078,Subha@768,Unemployed,Nilgiris,4.49,4597.76,1.5,Tablet,134.7,Basic+ Calls,299,5G,Airtel
Shri,67,7184333424,Shrit@488,IT sector,Namakkal,2.81,2877.44,2,Tablet,84.3,Unlimited+ OTT,399,4G,Jio
Shalu,20,7132601376,Shalu@304,Doctor,Thanjavur,0.47,481.28,2,Smartphone,14.1,Unlimited+ OTT,399,5G,Jio
Dhar,24,8981484221,DharY@714,Unemployed,Kanchipuram,0.89,911.36,2.5,Television,26.7,Entertainment+ Data,499,4G,VI
Gopi,40,6504299932,Gopil@582,Retiree,Dindigul,4.26,4362.24,1,Television,127.8,Standard Plan,199,4G,BSNL
Harshi,49,6272349015,Harsh@282,Other Professionals,Karur,2.38,2437.12,1,Smartphone,71.4,Standard Plan,199,4G,BSNL
Abi,38,7903086757,AbiZZ@812,Student,Tirunelveli,2.89,2959.36,1,Smartphone,86.7,Standard Plan,199,4G,BSNL
Yuga,60,6988414094,YugaY@957,Freelancer,Thiruvallur,2.16,2211.84,1.5,Television,64.8,Basic+ Calls,299,5G,Airtel
Vishwa,54,6590843776,Vishw@006,Retiree,Ariyalur,3.18,3256.32,1.5,Laptop,95.4,Basic+ Calls,299,5G,Airtel
Sherina,55,9670664909,Sheri@774,Retiree,Thiruvallur,3.53,3614.72,2,Tablet,105.9,Unlimited+ OTT,399,4G,Jio
Prissila Casey,44,6349358441,Priss@187,IT sector,Vellore,4.69,4802.56,2.5,Television,140.7,Entertainment+ Data,499,5G,VI
Alex Sherif,58,8417016387,Alex @097,Freelancer,Tirunelveli,1.02,1044.48,1,Television,30.6,Standard Plan,199,4G,BSNL
Jordan Jebasto,27,7260436843,Jorda@841,Student,Kanchipuram,4.29,4392.96,2.5,Smartphone,128.7,Entertainment+ Data,499,4G,VI
Morgan Sherif,28,7743354956,Morga@470,Unemployed,Karur,1.59,1628.16,1,Smartphone,47.7,Standard Plan,199,4G,BSNL
Alex ,30,7698059392,Alex @052,Teacher,Thanjavur,0.72,737.28,2,Smartphone,21.6,Unlimited+ OTT,399,4G,Jio
Toni ,57,9674790185,Toni @989,IT sector,Coimbatore,2.71,2775.04,2.5,Smartphone,81.3,Entertainment+ Data,499,4G,VI
Alex Jebasto,24,9794594517,Alex @928,Retiree,Thoothukudi,3.61,3696.64,2.5,Smartphone,108.3,Entertainment+ Data,499,5G,VI
Vivek,31,8627117983,Vivek@904,Doctor,Tirunelveli,0.73,747.52,1,Laptop,21.9,Standard Plan,199,5G,BSNL
shan,61,7212512072,shanq@987,Other Professionals,Pudukkottai,1.47,1505.28,2,Laptop,44.1,Unlimited+ OTT,399,4G,Jio
Amal,28,8951636380,Amalg@698,Retiree,Chennai,3.53,3614.72,2,Tablet,105.9,Unlimited+ OTT,399,5G,Jio
Aren,41,6105988012,Arenr@438,Unemployed,Vellore,0.67,686.08,2,Television,20.1,Unlimited+ OTT,399,5G,Jio
Deepak,40,7797146958,Deepa@587,Unemployed,Madurai,4.69,4802.56,2.5,Smartphone,140.7,Entertainment+ Data,499,5G,VI
Prenesh,29,9510317184,Prene@430,Freelancer,Thiruvarur,0.9,921.6,2,Smartphone,27,Unlimited+ OTT,399,5G,Jio
Sarukesh,69,6165217042,Saruk@548,Other Professionals,Villupuram,3.21,3287.04,2.5,Tablet,96.3,Entertainment+ Data,499,5G,VI
Kishika,41,7839255855,Kishi@650,Freelancer,Salem,4.76,4874.24,2.5,Smartphone,142.8,Entertainment+ Data,499,4G,VI
Madhuksha,62,7263556759,Madhu@883,Freelancer,Tiruvannamalai,2.16,2211.84,2.5,Tablet,64.8,Entertainment+ Data,499,4G,VI
Riya,64,7692695115,Riyar@414,Unemployed,Erode,3.02,3092.48,2,Television,90.6,Unlimited+ OTT,399,4G,Jio
Rithvik,39,6234599774,Rithv@159,Doctor,Krishnagiri,2.41,2467.84,1.5,Smartphone,72.3,Basic+ Calls,299,4G,Airtel
Prasana,51,6394254915,Prasa@377,Doctor,Tiruvannamalai,1.2,1228.8,1.5,Tablet,36,Basic+ Calls,299,4G,Airtel
Sanjay,24,7556754653,Sanja@271,Retiree,Villupuram,0.5,512,1.5,Smartphone,15,Basic+ Calls,299,4G,Airtel
Rohit,53,6650386503,Rohit@176,Student,Thanjavur,0.32,327.68,2.5,Laptop,9.6,Entertainment+ Data,499,4G,VI
Venba,61,6291387894,Venba@768,Student,Thoothukudi,2.16,2211.84,2.5,Laptop,64.8,Entertainment+ Data,499,5G,VI
Katherine,24,7878435854,Kathe@495,Unemployed,Erode,4.13,4229.12,2,Tablet,123.9,Unlimited+ OTT,399,4G,Jio
Vimala,50,8800727011,Vimal@246,Doctor,Thanjavur,2.08,2129.92,1,Tablet,62.4,Standard Plan,199,4G,BSNL
Vimal,33,6390035528,Vimal@342,Doctor,Tiruchirappalli,0.69,706.56,1.5,Tablet,20.7,Basic+ Calls,299,4G,Airtel
Daniel,22,9147591607,Danie@154,Freelancer,Krishnagiri,4.19,4290.56,2.5,Tablet,125.7,Entertainment+ Data,499,4G,VI
Gopi,66,8276939915,GopiS@355,Freelancer,Madurai,1.64,1679.36,1,Television,49.2,Standard Plan,199,5G,BSNL
Gopal,47,7627019207,Gopal@411,IT sector,Coimbatore,3.67,3758.08,2,Laptop,110.1,Unlimited+ OTT,399,5G,Jio
Sudhakar,45,9363974567,Sudha@020,Unemployed,Dharmapuri,1.53,1566.72,2.5,Tablet,45.9,Entertainment+ Data,499,4G,VI
Sudhar,66,7838809915,Sudha@036,Student,Madurai,2.6,2662.4,1,Television,78,Standard Plan,199,5G,BSNL
Subhu,57,9706258183,Subhu@146,Freelancer,Cuddalore,3.66,3747.84,2,Smartphone,109.8,Unlimited+ OTT,399,4G,Jio
Barani,51,7516572233,Baran@575,Other Professionals,Pudukkottai,4.87,4986.88,2,Smartphone,146.1,Unlimited+ OTT,399,5G,Jio
Prasath,18,7271856354,Prasa@233,Teacher,Thanjavur,0.69,706.56,2,Television,20.7,Unlimited+ OTT,399,4G,Jio
Nivin,22,8135865704,Nivin@059,Student,Villupuram,3.1,3174.4,1,Laptop,93,Standard Plan,199,4G,BSNL
Aashinth,32,6174311362,Aashi@513,Teacher,Kallakurichi,2.23,2283.52,2.5,Tablet,66.9,Entertainment+ Data,499,5G,VI
Samson,44,8240414850,Samso@562,Retiree,Tiruchirappalli,0.78,798.72,1.5,Smartphone,23.4,Basic+ Calls,299,4G,Airtel
Joseph,57,9553898573,Josep@939,Freelancer,Nilgiris,4.32,4423.68,1.5,Tablet,129.6,Basic+ Calls,299,4G,Airtel
Naveen,63,7283172737,Navee@818,IT sector,Cuddalore,4.74,4853.76,1,Tablet,142.2,Standard Plan,199,4G,BSNL
Gokulnath,48,7648330523,Gokul@938,IT sector,Thiruvallur,3.92,4014.08,2,Smartphone,117.6,Unlimited+ OTT,399,5G,Jio
Srivatsan,42,8680731388,Sriva@076,IT sector,Virudhunagar,3.15,3225.6,1.5,Television,94.5,Basic+ Calls,299,4G,Airtel
HariShankar,38,8562861327,HariS@620,Doctor,Ramanathapuram,3.11,3184.64,2.5,Television,93.3,Entertainment+ Data,499,4G,VI
HariRam,44,9452055034,HariR@984,Student,Namakkal,2.47,2529.28,2.5,Television,74.1,Entertainment+ Data,499,4G,VI
Gunalan,41,6390246944,Gunal@074,Teacher,Sivagangai,4.38,4485.12,1.5,Laptop,131.4,Basic+ Calls,299,5G,Airtel
Gugan,62,6485184497,Gugan@291,Unemployed,Thanjavur,4.58,4689.92,1,Laptop,137.4,Standard Plan,199,5G,BSNL
Yaneshwar,64,6887457379,Yanes@058,Doctor,Cuddalore,3.89,3983.36,1,Laptop,116.7,Standard Plan,199,5G,BSNL
Yogeshwaran,61,7878778061,Yoges@751,Teacher,Pudukkottai,0.21,215.04,1,Television,6.3,Standard Plan,199,4G,BSNL
Vinoth,62,7783824732,Vinot_325,Doctor,Kallakurichi,0.66,675.84,1.5,Laptop,19.8,Basic+ Calls,299,4G,Airtel
Smitha,47,8402615152,Smith_664,Teacher,Theni,0.62,634.88,1.5,Tablet,18.6,Basic+ Calls,299,4G,Airtel
Jagadesh,28,9318449239,Jagad_826,Other Professionals,Tiruppur,1.82,1863.68,2.5,Laptop,54.6,Entertainment+ Data,499,4G,VI
PremSiva,60,7311130294,PremS@742,Doctor,Madurai,2.29,2344.96,2,Smartphone,68.7,Unlimited+ OTT,399,5G,Jio
PremKumar,55,9795809207,PremK@531,Doctor,Tiruchirappalli,3.9,3993.6,1.5,Laptop,117,Basic+ Calls,299,4G,Airtel
Muthukumar,23,9141067461,Muthu@624,Doctor,Tiruchirappalli,0.83,849.92,1.5,Smartphone,24.9,Basic+ Calls,299,4G,Airtel
Binayak,22,7225415121,Binay@713,Unemployed,Virudhunagar,3.99,4085.76,2.5,Smartphone,119.7,Entertainment+ Data,499,4G,VI
Singh,69,9253825907,Singh@651,Freelancer,Dharmapuri,2.46,2519.04,1,Smartphone,73.8,Standard Plan,199,5G,BSNL
Zahid,43,7465242613,Zahid@014,IT sector,Erode,2.81,2877.44,2,Smartphone,84.3,Unlimited+ OTT,399,5G,Jio
Thirumalai,50,7478234224,Thiru@987,Freelancer,Kallakurichi,2.57,2631.68,1,Smartphone,77.1,Standard Plan,199,4G,BSNL
Pushpa,23,6575806167,Pushp@374,Other Professionals,Tiruchirappalli,4.57,4679.68,2.5,Smartphone,137.1,Entertainment+ Data,499,5G,VI
Murugan,70,9758715001,Murug@444,Unemployed,Kallakurichi,2.74,2805.76,2.5,Tablet,82.2,Entertainment+ Data,499,5G,VI
Alluarjun,33,7483679241,Allua@697,Unemployed,Krishnagiri,4.43,4536.32,1.5,Smartphone,132.9,Basic+ Calls,299,4G,Airtel
Sreelila,68,7888864776,Sreel@292,Student,Theni,4.49,4597.76,1.5,Television,134.7,Basic+ Calls,299,4G,Airtel
Sreedevi,30,6844869722,Sreed@962,Student,Ramanathapuram,0.11,112.64,1.5,Television,3.3,Basic+ Calls,299,5G,Airtel
